rowcode	produit_code	unite_code	taille_code	groupe_code
1	1.0	100.0	0.0	1.0
2	1.0	108.0	1.0	1.0
3	1.0	108.0	2.0	1.0
4	1.0	108.0	3.0	1.0
5	1.0	135.0	0.0	1.0
6	1.0	136.0	0.0	1.0
7	1.0	139.0	1.0	1.0
8	1.0	139.0	2.0	1.0
9	1.0	139.0	3.0	1.0
10	1.0	149.0	0.0	1.0
11	1.0	251.0	0.0	1.0
12	1.0	252.0	0.0	1.0
13	2.0	100.0	0.0	1.0
14	2.0	108.0	1.0	1.0
15	2.0	108.0	2.0	1.0
16	2.0	108.0	3.0	1.0
17	2.0	135.0	0.0	1.0
18	2.0	138.0	0.0	1.0
19	2.0	145.0	0.0	1.0
20	2.0	149.0	0.0	1.0
21	2.0	251.0	0.0	1.0
22	2.0	252.0	0.0	1.0
23	3.0	100.0	0.0	1.0
24	3.0	136.0	0.0	1.0
25	3.0	137.0	0.0	1.0
26	3.0	138.0	0.0	1.0
27	4.0	100.0	0.0	1.0
28	4.0	136.0	0.0	1.0
29	4.0	137.0	0.0	1.0
30	4.0	138.0	0.0	1.0
31	5.0	100.0	0.0	1.0
32	5.0	136.0	0.0	1.0
33	5.0	137.0	0.0	1.0
34	5.0	138.0	0.0	1.0
35	7.0	100.0	0.0	1.0
36	7.0	108.0	1.0	1.0
37	7.0	108.0	2.0	1.0
38	7.0	108.0	3.0	1.0
39	7.0	135.0	0.0	1.0
40	7.0	138.0	0.0	1.0
41	7.0	139.0	1.0	1.0
42	7.0	139.0	2.0	1.0
43	7.0	139.0	3.0	1.0
44	7.0	145.0	0.0	1.0
45	7.0	149.0	0.0	1.0
46	7.0	252.0	0.0	1.0
47	8.0	100.0	0.0	1.0
48	8.0	108.0	1.0	1.0
49	8.0	108.0	2.0	1.0
50	8.0	108.0	3.0	1.0
51	8.0	115.0	3.0	1.0
52	8.0	135.0	0.0	1.0
53	8.0	138.0	0.0	1.0
54	8.0	139.0	1.0	1.0
55	8.0	139.0	2.0	1.0
56	8.0	139.0	3.0	1.0
57	8.0	145.0	0.0	1.0
58	8.0	149.0	0.0	1.0
